Review,prediction
"We had high expectations of this resort.  The pictures looked beautiful and we were desperately looking for relaxation but we got anything but.  First, it was extremely expensive, which we thought was because it was so nice, but it turns out it is just a rip off.  They nickel and dime you for everything (nothing is included) and service people are no wear around.  It looks almost nothing like the pictures; it is crowded and run down.  See all the empty loungers at the pool?  Try getting one of them.  Or a drink in the bar without waiting in line.  Won't do it again, that's for sure.",0
" My recent Borgo Egnazia stay was a disappointment.  Since when does french fries and other fried foods represent local food which follows the Mediterranean diet which the brochure promised?  Also, the beach was not as spectacular as I thought.  It was very rocky and was quite uncomfortable to walk on.  Also, the beach was kind of noisy and was not the secluded, exclusive, relaxing atmosphere which I had expected.  Although the staff was helpful, they were a little arrogant and didn't seem too friendly towards Americans.  I would have hoped to find some authentic local experiences, but was steered towards the tourist traps and other overpriced places.  Overall, the quality and luxury was not quite what I was promised and what I would have expected for the money I paid.",0
"I recently traveled to Italy and stayed at the Borgo Egnazia Puglia with my girlfriend and some family members. I was drawn to stay here because of the beautiful photographs and descriptions I have seen from this resort. Unfornutely that is about as good as it got because when we arrived it just didnâ€™t seem to meet our expectations. It had a bit of an old run down feel. Obviously this part of Italy is beautiful but when travelling halfway around the world I was expecting something more contemporary, as this felt cold and medieval. We made the best of our trip and had a great time but I wouldnâ€™t stay here again, I would rather book something that is more tailored to a luxury getaway that aims to pamper/please it's guests.",0
"My wife and I recently stayed at the Borgo Egnazia Puglia for three days, and it safe to say that we will never come back to this resort.  Although the brochure was very inviting, our experience was a bit of a nightmare to say the least.  To begin, check-in took over an hour and a half to due a lost reservation.  Once we actually got into our room, we were shocked to find it small, cramped, and dusty., nothing like the bright and cheery rooms in the brochure.    Room service was slow, expensive, and frequently got our order wrong.  Additionally, the location is poor, the food quality of the restaurant is sub-par, and the pool was closed for our entire stay.  Stay away from this one!!",0
"I had really high expectations for Borgo Egnazia.  The brochure made it look like a beautiful resort, but I found when I got there that what you see is not necessarily what you get.  First off, the staff seemed really apathetic, like we were bothering them just by checking in and asking basic questions.  The rooms were attractive but it was extremely difficult to get any help when we found that the air conditioning didn't work.  They made it seem like we were bothering them when we had to ask several times for them to see about fixing it!  The food was okay, but very expensive and pretty limited as to what was available.  The beach was not peaceful as it was crowded with noisy kids every time we went there.  We also wanted to try some spa services but after paying their extremely high prices, we decided we would have done better if my husband and I just gave each other a backrub ourselves- they didn't seem to know what they were doing.  Overall, your money is better spent elsewhere!",0
"With over 50 loose leaf teas in my cupboard, this is one of my consistent favorites. The peach aroma and flavoring is distinct, but not overwhelming. The nutty roasted oolong base continues to shine through. This is a solid tea at a great price.",1
"The flavoring is well-blended into this tea. In contrast to pure oolongs with a natural peachy aroma, this tea displays its peach flavoring mainly in the finish.",1
"It's pretty good tea overall. This is one of the only brands of loose leaf tea available in my area, so I drink this stuff up often. It is, however, kind of dry in comparison to some other brands of Earl Grey I've tried. The Bergamot oil is pretty light in this brand.",1
"I find this to be a very good Earl Grey tea. It isn't too heavy in flavor, but still gives my tastebuds a treat when I drink it.",1
I like strong flavours. Twinings delivers a strong flavoued Earl Grey tea where the bergarmot is easily noticeable and great on the pallet. The % of bergarmot is even listed on the pack. This is the only brand that I have seen that does this. However the tea can come from different countries and you never know from which country the tea is sourced.,1
"I normally don't like flavored tea, but this is an exception. The taste wasn't as sour as other flavored teas I've tried and it wasn't overpowering at all. Overall I enjoyed this tea and will be drinking it again.",1
"I am so glad Trader joe's carries a white tea. This is my favorite tea they sell, one bag brews up a pretty strong flavored tea. The pomegranate flavor is very strong, but in a good way.",1
I really liked this tea. It wasn't too strong or acidic and had a nice flavor.,1
"Mellow, smooth, rich malty flavor. Deep red color; little bitterness or astringency. Very enjoyable. I find this tea grows on me. There is a suggestion of sweet fruit in the aroma, almost like baked apples.",1
"Ironically, this tea is significantly less peachy in aroma than a number of pure (unflavored) oolongs I've had, including Adagio's own Dancong Aria.",1
"Adagio recommends brewing 5 minutes, but I found that 3 minutes yielded a cup more to my liking. The leaf was broken and the tea infused rather quickly.",1
"As others have said, Twinings is light on bergamot. When I've used Twinings, I've often added lemon juice after the fact to give it more citrus.",1
"Fair nose dominated by the bergamot. Made from the bag, the steeped tea has no truly distinctive flavors. My guess is that by the time it made it through the distribution chain, all the life had oxidized out of this tea.",1
"I'm not a huge fan of hibiscus, and I dislike when a tea includes hibiscus as a main ingredient without including it in the name of the blend. Perhaps the marketers think casual tea drinkers will mistake hibiscus for pomegranate, because of the tangy quality and red color, but I'm not fooled. Yes, hibiscus tastes fruity, but no, it cannot be interchanged with generic red-colored fruits!",1
"Cheap, but what is cheap if I don't like it? I'm especially hard on Trader Joe's for their tea selection...they have such high-quality goods in other areas, even coffee. And their tea remains, in my opinion, pretty far below the level of quality of their other products.",1
"It's been a while since I tried this so my review is from a fuzzy memory, but I remember this tea blend as being fleetingly fruity and not having much of a strong presence of the base tea at all. Tasted pretty low quality, but then I've been consistently underwhelmed by Trader Joe's teas, so this was not surprising.",1
My reaction to this tea was pretty much: eh. I resent paying luxury rates for a tea that tastes like a budget hotel.,1
"I woke up one morning needing a serious wake up call from my cup of tea.  Runa's peppermint guayusa definitely did the trick. Between the  refreshingly crisp smell of peppermint, and the smooth taste of guayusa I  was ready to start my day within minutes.",0
I was so impressed with the peppermint guayusa blend I had to try the  traditional guayusa. I was pleased to discover that I enjoyed this one  just as much. It has an ample amount of caffeine kick combined with a  sweetness that is lacking in yerba mate. I would definitely recommend  everyone give this a try.,0
"Great tasting tea, especially good for breakfast with or without milk!!!",0
"Lovely flavour. No bitterness if brewed strong.""",0
Love this as either teabag or loose - loose gives slightly 'airier' drink.  Teabag more 'builders'.,0
"This tea is delicious and refreshing, and can be drunk at any time of the day. It is as good as any I have drunk in China or Singapore. I love to smell the leaves when I open the tea caddy; for me this is as important a part of the tea as the flavour! I now live in Brazil, but the only thing that I still bring back from trips to Europe is Clipper Organic loose green tea!",0
Never has a tea bag made me so happy :D,0
"This tea is amazing.  It's a nice strong, black tea with a perfectly infused flavor of maple. The balance is absolutely perfect. Breathing in a steaming mug of this tea on a winter's day is one of my favorite pleasures. The maple is very true; I'm a maple lover, but I don't care for fake maple flavoring. This tea is the real deal.",0
"This tea is perfect. The coconut flavor is very well-blended with the other chai spices, and not overpowering.  The aroma of this tea is intoxicating. The black tea leaves are a perfect match for the nerve-calming chai herbs. Invigorating and soothing all at once.",0
"This tea really is the perfect after dinner treat! The aroma is very invigorating and fresh- I wasn't sure the flavor would match the aroma, but it definitely did. Very good blend of tummy-pleasing herbs. All-around good.",0
"Amazing. I have tried this tea both hot and iced, and it is equally wonderful both ways.",0
The aroma is very full and sensual- the jasmine and earl grey come together beautifully for a flavor that is relaxing and invigorating all at once. I love this tea!,0
"This is without a doubt my favorite jasmine pearl tea. The aroma is so crisp and true to real jasmine. It's not too bitter, just perfectly green and floral.  I love this tea, but it is a bit too expensive for me. I have found other jasmine pearl teas at a lower price, but of course none have compared to this one.",0
This tea is so tasty. It didn't have a very strong scent so I wasn't expecting a lot of flavor.  Boy was I wrong.  I can taste both the chocolate and the orange flavors - kind of like those chocoate orange candies.  Super good:),0
"A delicious, delightful tea. Definitely one of my all-time favorites.",0
This is the best American Earl Grey I have ever tasted.,0
A decent black tea. A pretty decent black tea.,0
